"4/19/2015 11:26:59 PM","ben assef","9/17/2015","9/17/2015","","10:00 PM","Style on the Plaza","6:00 PM","9:00 AM","9/17/2015","10:00 PM","9/17/2015","5/10/2015 4:30:42 PM","1","40666A94-BC5B-4BBF-A0BA-D48FC3CED821","7"
"5/1/2015 11:33:43 AM","ben assef","5/2/2015","5/2/2015","","6:00 PM","Rochester Craft Beer Expo","2:00 PM","10:00 AM","5/2/2015","6:00 PM","5/2/2015","4/11/2016 1:28:13 AM","1","8A336530-44CC-4B5C-9CCB-4609F5EFAD73","7"
"5/3/2015 6:26:12 PM","ben assef","6/27/2015","6/22/2015","","00:00 AM","Rochesterfest","00:00 AM","00:00 AM","6/22/2015","00:00 AM","6/27/2015","3/9/2016 7:54:31 AM","6","D1E6D5D4-1968-4B81-A135-966F4B654F99","7"
"5/4/2015 12:46:22 PM","ben assef","","","","00:00 AM","RSOC Risers","00:00 AM","00:00 AM","","00:00 AM","","5/10/2015 4:32:13 PM","1","4967A27F-1FD4-4A68-ADA6-3EFCEBEF784E","7"
"5/4/2015 3:02:50 PM","Sean O'Connell","","","","00:00 AM","Testing No Dates","00:00 AM","00:00 AM","","00:00 AM","","5/10/2015 4:30:42 PM","1","1C11BC43-9326-4950-8D2F-49F18FF31203","7"
"5/5/2015 11:00:48 PM","ben assef","7/25/2015","7/24/2015","","","Down On The Farm","","","7/24/2015","","7/25/2015","6/7/2016 3:50:38 PM","2","DFDA08A5-9404-475B-AF62-308DF3F99325","7"
"5/6/2015 1:18:14 AM","ben assef","6/13/2015","6/12/2015","","","Blue Ox Festival","","","6/12/2015","","6/13/2015","6/7/2016 3:52:10 PM","2","12D5034A-14A2-4EDB-9A38-75AF14BFE289","7"
"5/11/2015 12:38:18 PM","ben assef","5/16/2015","5/14/2015","","","Jam 4 Jam","","","5/14/2015","","5/16/2015","3/17/2016 12:16:13 AM","3","C8D7B1B0-D980-4BAC-B0FF-50680A4EA8D1","7"
"5/11/2015 8:54:24 PM","Sean O'Connell","5/11/2015","5/11/2015","","00:00 AM","Testing No Dates 8:54:24 PM","00:00 AM","00:00 AM","5/11/2015","00:00 AM","5/11/2015","5/11/2015 8:54:24 PM","1","57AD402D-680B-564F-BFA4-6CB5D95DC7C8","7"
"5/13/2015 12:54:25 PM","ben assef","5/16/2015","5/16/2015","","","Somerby Stage","","","5/16/2015","","5/16/2015","5/13/2015 12:55:29 PM","1","0B22BC71-4D6A-4968-BCB8-D462A7AD05F5","7"
"5/19/2015 8:01:09 PM","ben assef","10/31/2015","10/30/2015","","","Halloween","","","10/30/2015","","10/31/2015","5/19/2015 8:01:56 PM","2","3F660C13-C1B0-42A8-B1C3-2C1D8591CC23","7"
"5/19/2015 9:31:59 PM","ben assef","9/19/2015","9/19/2015","","","Teen Music Fest","","","9/19/2015","","9/19/2015","5/19/2015 9:32:24 PM","1","AD484759-D24E-4AB0-8BE5-31EA1D9CE739","7"
"5/19/2015 11:02:57 PM","ben assef","9/12/2015","9/11/2015","","","Athens Fest","","9:00 AM","9/11/2015","10:00 PM","9/12/2015","5/19/2015 11:05:48 PM","2","9D30D719-8DCE-4F50-BF3A-E41DF2A6FCE7","7"
"5/20/2015 11:08:41 AM","Sean","3/5/2015","3/3/2015","","00:00 AM","Test Event 11:08:41 AM","00:00 AM","00:00 AM","3/3/2015","00:00 AM","3/5/2015","5/20/2015 11:08:41 AM","3","138BD470-548A-4CAB-ABCD-80C638FA320C","7"
