"","","","Cabling","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","50' 4 ch Edison Whips","0","6/8/2016 12:01:34 PM","","","F3FF8A84-CB9A-704D-96C1-8D5EBB9F4EA7","","",""
"","","","Cabling","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","30A Adapter","0","3/24/2015 12:57:44 AM","","","5A2A398F-F50D-6A44-8919-1B1CEBAAAD81","","1",""
"","","","Lighting","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","Blizzard Cabling","0","6/8/2016 12:01:35 PM","","","3B15956F-8A59-FC45-9C71-3A609CD9316E","","",""
"Speakers","","","Audio","","196CADCE-68AB-8C44-B921-B5BD20D6A710","D270B8A1-C902-CD49-97C7-1A479A1AB841","VRX 932","0","3/24/2015 1:04:42 AM","","","FFFD679A-55FD-2B43-8210-BE265D1EED6E","50","4","Array"
"Speakers","","","Audio","","196CADCE-68AB-8C44-B921-B5BD20D6A710","89ADB9D2-48CB-9B43-8304-6FA39F20B083","VRX 928","0","3/24/2015 1:04:43 AM","","","DEF84B69-1F6B-BC49-9BD3-880F42D81D38","40","2","Array"
"Mixers","","","Audio","","196CADCE-68AB-8C44-B921-B5BD20D6A710","2B6193A8-D01B-3C44-AC72-12297BE5E325","Qu-16","0","3/24/2015 1:04:44 AM","","","77C8ED9C-1778-D745-941E-1C97D15516AA","150","1",""
"","","","Cabling","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","50' NL4","0","3/24/2015 12:57:47 AM","","","989969E2-2E77-4944-BFB8-A597F7DC4269","","6",""
"Lights","","","Lighting","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0910FB58-27EF-874B-BBA5-8A7E3B53ABB8","Torrent F5's","0","3/24/2015 1:04:45 AM","","","019F05C8-6B16-E34F-B2E1-EF58595A53F4","60","4","Moving"
"","","","Lighting","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","ALL THE LIGHTING CABLES","0","6/8/2016 12:01:37 PM","","","7C4E4A9D-70CB-2845-876A-4D7E90060C6F","","",""
"","","","Audio","","196CADCE-68AB-8C44-B921-B5BD20D6A710","0","K10","0","3/24/2015 12:57:48 AM","","","ABF9A00C-5C6C-6447-BCBD-8603A8AAB04D","","3",""
